Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilities,Approx Liabilities
116,Debes Mandal,HINGALGANJ (SC),AITC,0,Graduate,Rs 4925291,~ 49 Lacs+,Rs 860000,~ 8 Lacs+
117,Nandita Chowdhury,HOWRAH DAKSHIN,AITC,0,12th Pass,Rs 157346468,~ 15 Crore+,Rs 1430415,~ 14 Lacs+
118,Arup Roy,HOWRAH MADHYA,AITC,0,Graduate Professional,Rs 30285927,~ 3 Crore+,Rs 2961801,~ 29 Lacs+
120,Nirmal Kumar Dhara,INDUS (SC),BJP,0,Post Graduate,Rs 1700,~ 1 Thou+,Rs 0,~
123,Debabrata Majumdar (Malay),JADAVPUR,AITC,0,Graduate Professional,Rs 10282014,~ 1 Crore+,Rs 0,~
154,Paresh Murmu,KESHIARY (ST),AITC,0,Graduate,Rs 4010329,~ 40 Lacs+,Rs 0,~
124,Sitanath Ghosh,JAGATBALLAVPUR,AITC,0,12th Pass,Rs 23911229,~ 2 Crore+,Rs 0,~
129,Hareram Singh,JAMURIA,AITC,0,12th Pass,Rs 14634363,~ 1 Crore+,Rs 0,~
131,Jakir Hossain,JANGIPUR,AITC,0,10th Pass,Rs 672290370,~ 67 Crore+,Rs 62303203,~ 6 Crore+
132,Biswanath Das,JAYNAGAR (SC),AITC,0,Post Graduate,Rs 10789846,~ 1 Crore+,Rs 1458616,~ 14 Lacs+
133,Birbaha Hansda,JHARGRAM,AITC,0,Graduate,Rs 306215,~ 3 Lacs+,Rs 0,~
134,Vivek Gupta,JORASANKO,AITC,0,Graduate,Rs 319943060,~ 31 Crore+,Rs 0,~
145,Arup Kumar Das,KANTHI DAKSHIN,BJP,0,Post Graduate,Rs 10312786,~ 1 Crore+,Rs 0,~
146,Sumita Sinha,KANTHI UTTAR,BJP,0,Graduate,Rs 41410667,~ 4 Crore+,Rs 2653018,~ 26 Lacs+
148,Bimalendu Sinha Roy,KARIMPUR,AITC,0,Post Graduate,Rs 20658032,~ 2 Crore+,Rs 391624,~ 3 Lacs+
4,Sobhandeb Chattopadhyay,KHARDAHA : BYE ELECTION ON 30-10-2021,AITC,0,Graduate Professional,Rs 24931336,~ 2 Crore+,Rs 0,~
152,Harakali Protiher,KATULPUR (SC),BJP,0,Post Graduate,Rs 6641745,~ 66 Lacs+,Rs 3500000,~ 35 Lacs+
126,Abdur Razzak,JALANGI,AITC,0,Post Graduate,Rs 8789008,~ 87 Lacs+,Rs 0,~
210,Rajendra Prasad Singh (Raju Singh),NALHATI,AITC,0,8th Pass,Rs 8307999,~ 83 Lacs+,Rs 2843603,~ 28 Lacs+
211,Sukumar De,NANDAKUMAR,AITC,0,Graduate,Rs 1428598,~ 14 Lacs+,Rs 0,~
213,Bidhan Chandra Majhi,NANOOR (SC),AITC,0,Post Graduate,Rs 1873136,~ 18 Lacs+,Rs 2366807,~ 23 Lacs+
261,Chandana Bauri,SALTORA (SC),BJP,0,10th Pass,Rs 62296,~ 62 Thou+,Rs 0,~
264,Priya Paul,SANKRAIL (SC),AITC,0,Post Graduate,Rs 5434717,~ 54 Lacs+,Rs 0,~
266,Tapan Dasgupta,SAPTAGRAM,AITC,0,Graduate,Rs 11981324,~ 1 Crore+,Rs 401531,~ 4 Lacs+
267,Mohan Chandra Naskar,SATGACHHIA,AITC,0,Graduate,Rs 2523517,~ 25 Lacs+,Rs 0,~
268,Manoj Tiwary,SHIBPUR,AITC,0,8th Pass,Rs 203357703,~ 20 Crore+,Rs 1337744,~ 13 Lacs+
269,Dr. Shashi Panja,SHYAMPUKUR,AITC,0,Graduate Professional,Rs 73351264,~ 7 Crore+,Rs 0,~
270,Kalipada Mandal,SHYAMPUR,AITC,0,Graduate Professional,Rs 8383967,~ 83 Lacs+,Rs 0,~
275,Dibakar Gharami,SONAMUKHI (SC),BJP,0,8th Pass,Rs 497000,~ 4 Lacs+,Rs 0,~
276,Arundhuti Maitra (Lovely),SONARPUR DAKSHIN,AITC,0,Graduate,Rs 9014300,~ 90 Lacs+,Rs 0,~
277,Firdousi Begum,SONARPUR UTTAR,AITC,0,12th Pass,Rs 66667778,~ 6 Crore+,Rs 296050,~ 2 Lacs+
259,Nilabati Saha,SAINTHIA (SC),AITC,0,Graduate,Rs 12820081,~ 1 Crore+,Rs 449237,~ 4 Lacs+
