Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilites,Approx Liabilities
218,Sahina Momtaz Khan,NOWDA,AITC,0,3,38048254,~ 3 Crore+,4087115,~ 40 Lacs+
219,Amarnath Shakha,ONDA,BJP,6,3,6581000,~ 65 Lacs+,100000,~ 1 Lacs+
220,Dr. Manik Bhattacharya,PALASHIPARA,AITC,0,10,29870186,~ 2 Crore+,0,~
221,Gulsan Mullick,PANCHLA,AITC,0,4,16605069,~ 1 Crore+,932835,~ 9 Lacs+
222,Narendranath Chakraborty,PANDABESWAR,AITC,7,4,16789964,~ 1 Crore+,2179450,~ 21 Lacs+
223,Dr. Ratna De Nag,PANDUA,AITC,0,7,33921638,~ 3 Crore+,0,~
224,Nirmal Ghosh,PANIHATI,AITC,0,6,11294893,~ 1 Crore+,0,~
225,Phiroja Bibi,PANSKURA PASCHIM,AITC,2,2,2031347,~ 20 Lacs+,0,~
226,Biplab Roy Chowdhury,PANSKURA PURBA,AITC,0,4,3581403,~ 35 Lacs+,0,~
227,Nadiar Chand Bouri,PARA (SC),BJP,0,4,1689675,~ 16 Lacs+,650000,~ 6 Lacs+
228,Uttam Barik,PATASHPUR,AITC,4,4,4332026,~ 43 Lacs+,0,~
229,Samir Kumar Jana,PATHARPRATIMA,AITC,2,8,9524413,~ 95 Lacs+,550000,~ 5 Lacs+
230,Durga Murmu,PHANSIDEWA (ST),BJP,0,4,11703526,~ 1 Crore+,0,~
231,Ajit Maity,PINGLA,AITC,1,4,8575000,~ 85 Lacs+,0,~
232,Swapan Debnath,PURBASTHALI DAKSHIN,AITC,1,8,9682873,~ 96 Lacs+,0,~
233,Tapan Chatterjee,PURBASTHALI UTTAR,AITC,3,4,16791678,~ 1 Crore+,1455834,~ 14 Lacs+
234,Biman Ghosh,PUURAH,BJP,2,6,210379,~ 2 Lacs+,0,~
235,Sudip Kumar Mukherjee,PURULIA,BJP,3,2,4502782,~ 45 Lacs+,0,~
236,Akhruzzaman,RAGHUNATHGANJ,AITC,1,7,22269566,~ 2 Crore+,49777,~ 49 Thou+
237,Vivekananda Bauri,RAGHUNATHPUR (SC),BJP,0,7,2030856,~ 20 Lacs+,0,~
238,Aloke Jaldata,RAIDIGHI,AITC,1,7,33522682,~ 3 Crore+,7483333,~ 74 Lacs+
