Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilities,Approx Liabilities
40,CHAND MOHAMMAD,Bhagabangola,WBSP,0,3,Rs 1051592,~ 10 Lacs+,Rs 0,~
41,ARABUL  ISLAM,Bhangar,AITC,0,2,Rs 853000,~ 8 Lacs+,Rs 0,~
42,ID MOHAMMAD,Bharatpur,RSP,0,6,Rs 1001845,~ 10 Lacs+,Rs 0,~
43,SAYED MD. MASIH,Bhatar,CPM,0,7,Rs 1237422,~ 12 Lacs+,Rs 66663,~ 66 Thou+
44,DR. NIRJHARINI CHAKRABARTY,Bijpur,CPM,0,8,Rs 900000,~ 9 Lacs+,Rs 489848,~ 4 Lacs+
47,RATHIN SARKAR,Bishnupur West,CPM,0,6,Rs 448729,~ 4 Lacs+,Rs 0,~
48,TAPAN HORE,Bolpur,RSP,0,8,Rs 924642,~ 9 Lacs+,Rs 266617,~ 2 Lacs+
49,BHUPENDRA NATH SETH,Bongaon,AITC,0,4,Rs 531756,~ 5 Lacs+,Rs 41412,~ 41 Thou+
50,GOPAL SETH,Bongaon : Bye-election on 07-11-2009,AITC,0,6,Rs 660000,~ 6 Lacs+,Rs 0,~
51,SUDIP BANDYOPADHYAY,Bow Bazar,INC,0,6,Rs 4097608,~ 40 Lacs+,Rs 0,~
53,PRADIP TAH,Burdwan North,CPM,0,6,Rs 3669646,~ 36 Lacs+,Rs 399691,~ 3 Lacs+
54,NIRUPAM SEN,Burdwan South,CPM,0,6,Rs 1451221,~ 14 Lacs+,Rs 0,~
55,SADHAN PANDE,Burtola,AITC,0,7,Rs 12879105,~ 1 Crore+,Rs 964554,~ 9 Lacs+
56,ABDUR RAZZAK MOLLA,Canning East,CPM,0,6,Rs 2664765,~ 26 Lacs+,Rs 0,~
57,DWIJAPADA MONDOL,Canning West,CPM,0,4,Rs 1037550,~ 10 Lacs+,Rs 0,~
59,JIBESH CHAKRABORTY,Champdani,CPM,0,7,Rs 1401175,~ 14 Lacs+,Rs 111,~ 1 Hund+
60,SIBAPROSAD (RATAN) BANDYOPADHYAY,Chandernagore,CPM,0,6,Rs 565232,~ 5 Lacs+,Rs 153792,~ 1 Lacs+
61,BHAKTARAM PAN,Chanditala,CPM,0,3,Rs 433901,~ 4 Lacs+,Rs 0,~
62,GURUPADA DUTTA,Chandrakona,CPM,0,6,Rs 898812,~ 8 Lacs+,Rs 0,~
63,SHAMSUL ISLAM MOLLAH,Chapra,CPM,0,7,Rs 1867000,~ 18 Lacs+,Rs 7068,~ 7 Thou+
64,ANATH BANDHU MONDAL,Chhatna,RSP,0,6,Rs 499073,~ 4 Lacs+,Rs 0,~
133,DEBA PRASAD ROY,Jalpaiguri,INC,0,6,Rs 4766476,~ 47 Lacs+,Rs 2360076,~ 23 Lacs+
66,ANWARUL HAQUE,Chopra,CPM,0,6,Rs 785000,~ 7 Lacs+,Rs 40000,~ 40 Thou+
67,SUBRATA BAKSHI,Chowringhee,AITC,0,7,Rs 2914992,~ 29 Lacs+,Rs 0,~
68,CHAKRADHAR MAIKAP,Contai North,CPM,0,8,Rs 348500,~ 3 Lacs+,Rs 220000,~ 2 Lacs+
70,DIPAK CHANDRA SARKAR,Cooch Behar North,AIFB,0,4,Rs 901048,~ 9 Lacs+,Rs 105370,~ 1 Lacs+
72,BANDYOPADHYAY TARAK,Cossipur,AITC,0,7,Rs 1715741,~ 17 Lacs+,Rs 0,~
36,SUJIT BOSE,Belgachia East : Bye-election on 07-11-2009,AITC,0,4,Rs 3061048,~ 30 Lacs+,Rs 2226741,~ 22 Lacs+
73,NANDA GOPAL BATTACHARJEE,Dantan,CPI,0,6,Rs 3248372,~ 32 Lacs+,Rs 0,~
35,SUBHAS CHAKRABORTI,Belgachia East,CPM,0,6,Rs 2192399,~ 21 Lacs+,Rs 0,~
33,PARTHA CHATTERJEE,Behala West,AITC,0,7,Rs 850500,~ 8 Lacs+,Rs 2308486,~ 23 Lacs+
2,NIRMAL DAS,Alipurduars,RSP,0,8,Rs 2263091,~ 22 Lacs+,Rs 0,~
3,ABDUS SATTAR,Amdanga,CPM,0,10,Rs 2198556,~ 21 Lacs+,Rs 880000,~ 8 Lacs+
4,PRATYUSH MUKHERJEE,Amta,CPM,0,6,Rs 609500,~ 6 Lacs+,Rs 0,~
5,SABITRI MITRA,Araidanga,INC,0,3,Rs 1647179,~ 16 Lacs+,Rs 0,~
6,BINOY DATTA,Arambagh,CPM,0,5,Rs 868603,~ 8 Lacs+,Rs 143990,~ 1 Lacs+
7,PRABHAT MAHATO,Arsa,AIFB,0,8,Rs 491371,~ 4 Lacs+,Rs 249000,~ 2 Lacs+
