120,Arup Roy,HOWRAH MADHYA,AITC,0,GraduateProfessional,Rs 11718686,~ 1 Crore+,Rs 0,~
121,Asok Ghosh,HOWRAH UTTAR,AITC,0,TwelfthPass,Rs 2825625,~ 28 Lacs+,Rs 0,~
122,Gurupada Mete,INDUS (SC),AITC,0,EighthPass,Rs 836620,~ 8 Lacs+,Rs 22000,~ 22 Thou+
123,Abdul Karim Chowdhary,ISLAMPUR,AITC,0,Graduate,Rs 12110000,~ 1 Crore+,Rs 617540,~ 6 Lacs+
124,Amal Acharjee,ITAHAR,AITC,0,TwelfthPass,Rs 4457859,~ 44 Lacs+,Rs 486533,~ 4 Lacs+
125,Manish Gupta,JADAVPUR,AITC,0,Graduate,Rs 39473048,~ 3 Crore+,Rs 110000,~ 1 Lacs+
126,Abul Kasem Molla,JAGATBALLAVPUR,AITC,0,GraduateProfessional,Rs 8950242,~ 89 Lacs+,Rs 570000,~ 5 Lacs+
127,Parash Dutta,JAGATDAL,AITC,0,Graduate,Rs 2524391,~ 25 Lacs+,Rs 30000,~ 30 Thou+
128,Abdur Razzak Mondal,JALANGI,CPM,0,PostGraduate,Rs 5090816,~ 50 Lacs+,Rs 0,~
129,Ujjal Pramanick,JAMALPUR (SC),AITC,0,Graduate,Rs 1949301,~ 19 Lacs+,Rs 0,~
130,Jahanara Khan,JAMURIA,CPM,0,Graduate,Rs 271855,~ 2 Lacs+,Rs 0,~
131,Snehasis Chakraborty,JANGIPARA,AITC,2,PostGraduate,Rs 3040478,~ 30 Lacs+,Rs 978248,~ 9 Lacs+
132,Md. Sohrab,JANGIPUR,INC,0,PostGraduate,Rs 1961408,~ 19 Lacs+,Rs 0,~
133,Tarun Kanti Naskar,JAYNAGAR (SC),SUCI(C),0,Doctorate,Rs 1113648,~ 11 Lacs+,Rs 0,~
134,Sukumar Hansda,JHARGRAM,AITC,0,GraduateProfessional,Rs 12205017,~ 1 Crore+,Rs 263000,~ 2 Lacs+
135,Smita Bakshi,JORASANKO,AITC,1,Graduate,Rs 11989316,~ 1 Crore+,Rs 1201070,~ 12 Lacs+
136,Dhirendra Nath Mahato,JOYPUR,AIFB,0,TenthPass,Rs 934509,~ 9 Lacs+,Rs 0,~
137,Manturam Pakhira,KAKDWIP,AITC,0,TenthPass,Rs 135513,~ 1 Lacs+,Rs 0,~
138,Wilson Champramary,KALCHINI (ST),IND,6,EighthPass,Rs 1382000,~ 13 Lacs+,Rs 230000,~ 2 Lacs+
139,Pramatha Nath Roy,KALIAGANJ (SC),INC,0,PostGraduate,Rs 2082813,~ 20 Lacs+,Rs 0,~
140,Nasiruddin Ahamed,KALIGANJ,AITC,0,PostGraduate,Rs 6550602,~ 65 Lacs+,Rs 473500,~ 4 Lacs+
141,Dr. Harka Bahadur  Chettri,KALIMPONG,GJM,8,Doctorate,Rs 3347000,~ 33 Lacs+,Rs 492890,~ 4 Lacs+
142,Biswajit Kundu,KALNA (SC),AITC,0,TenthPass,Rs 940401,~ 9 Lacs+,Rs 207240,~ 2 Lacs+
143,Dr. Ramendra Nath Biswas,KALYANI (SC),AITC,0,Doctorate,Rs 5894561,~ 58 Lacs+,Rs 250000,~ 2 Lacs+
144,Apurba Sarkar,KANDI,INC,2,TwelfthPass,Rs 13956850,~ 1 Crore+,Rs 600000,~ 6 Lacs+
145,Dibyendu Adhikari,KANTHI DAKSHIN,AITC,8,Graduate,Rs 4612500,~ 46 Lacs+,Rs 748900,~ 7 Lacs+
146,Banasri Maity,KANTHI UTTAR,AITC,0,Graduate,Rs 2570194,~ 25 Lacs+,Rs 84750,~ 84 Thou+
147,Gokul Behari Roy,KARANDIGHI,AIFB,0,Graduate,Rs 3041353,~ 30 Lacs+,Rs 0,~
148,Samarendranath Ghosh,KARIMPUR,CPM,0,PostGraduate,Rs 1360635,~ 13 Lacs+,Rs 310849,~ 3 Lacs+
149,Javed Ahmed Khan,KASBA,AITC,2,Graduate,Rs 21682397,~ 2 Crore+,Rs 0,~
150,Swapan Kumar Belthoriya,KASHIPUR,AITC,1,EighthPass,Rs 4499999,~ 44 Lacs+,Rs 1400000,~ 14 Lacs+
151,Mala Saha,KASHIPUR-BELGACHIA,AITC,0,PostGraduate,Rs 3316789,~ 33 Lacs+,Rs 470000,~ 4 Lacs+
152,Soumitra Khan,KATULPUR (SC),INC,1,TwelfthPass,Rs 132000,~ 1 Lacs+,Rs 0,~
